"YEAR","MONTH","DAY","TEMP"
2012,10,19,14
2012,10,20,14.8
2012,10,21,10.7
2012,10,22,10.4
2012,10,23,9.6
2012,10,24,8.8
2012,10,25,6.9
2012,10,26,1.9
2012,10,27,1.8
2012,10,28,2.9
2012,10,29,4.8
2012,10,30,4.6
2012,10,31,6.1
2012,11,1,6.1
2012,11,2,6.8
2012,11,3,6
2012,11,4,6.3
2012,11,5,4.7
2012,11,6,5
2012,11,7,8.3
2012,11,8,8.9
2012,11,9,8.4
2012,11,10,7.9
2012,11,11,8.7
2012,11,12,6.1
2012,11,13,6.4
2012,11,14,8.1
2012,11,15,8.7
2012,11,16,4.8
2012,11,17,2.2
2012,11,18,5.1
2012,11,19,4.4
2012,11,20,7.2
2012,11,21,5.8
2012,11,22,7.6
2012,11,23,6
2012,11,24,4.9
2012,11,25,6.2
2012,11,26,7.3
2012,11,27,6.1
2012,11,28,4.1
2012,11,29,2.4
2012,11,30,0.3
2012,12,1,-0.6
2012,12,2,-2.2
2012,12,3,-1.3
2012,12,4,-0.6
2012,12,5,-5.4
2012,12,6,-3.5
2012,12,7,-2.6
2012,12,8,-3.9
2012,12,9,0.2
2012,12,10,-0.4
2012,12,11,-2.7
2012,12,12,-7.2
2012,12,13,-3
2012,12,14,-0.8
2012,12,15,2.7
2012,12,16,3.3
2012,12,17,3.6
2012,12,18,2.4
2012,12,19,1.1
2012,12,20,0.9
2012,12,21,0.7
2012,12,22,-0.4
2012,12,23,0.1
2012,12,24,4.1
2012,12,25,4.9
2012,12,26,5.5
2012,12,27,2.6
2012,12,28,-0.6
2012,12,29,6.2
2012,12,30,5.2
2012,12,31,7.3
2013,1,1,5.6
2013,1,2,4.6
2013,1,3,7.3
2013,1,4,7.6
2013,1,5,5.8
2013,1,6,5.3
2013,1,7,4.1
2013,1,8,6.1
2013,1,9,5.4
2013,1,10,0.7
2013,1,11,-1.4
2013,1,12,-2.1
2013,1,13,-3.6
2013,1,14,-3.8
2013,1,15,-5.4
2013,1,16,-7.2
2013,1,17,-4.9
2013,1,18,-4.7
2013,1,19,-3.8
2013,1,20,-5.7
2013,1,21,-3.3
2013,1,22,-2.4
2013,1,23,-3.5
2013,1,24,-4.8
2013,1,25,-6.7
2013,1,26,-4.3
2013,1,27,1.1
2013,1,28,2.1
2013,1,29,3.9
2013,1,30,5.8
2013,1,31,4.6
2013,2,1,3.2
2013,2,2,0.1
2013,2,3,0.1
2013,2,4,2.9
2013,2,5,1.4
2013,2,6,0.8
2013,2,7,-0.7
2013,2,8,-0.4
2013,2,9,-2.1
2013,2,10,-2.8
2013,2,11,-2.3
2013,2,12,-2.3
2013,2,13,-1.7
2013,2,14,-1.1
2013,2,15,0.2
2013,2,16,0.4
2013,2,17,0.4
2013,2,18,0.9
2013,2,19,0.2
2013,2,20,-1
2013,2,21,-2
2013,2,22,-2
2013,2,23,-1.6
2013,2,24,-0.6
2013,2,25,0.5
2013,2,26,0.3
2013,2,27,-1.8
2013,2,28,1.8
2013,3,1,2.7
2013,3,2,2
2013,3,3,2.9
2013,3,4,1.4
2013,3,5,4.1
2013,3,6,5.2
2013,3,7,2.9
2013,3,8,0.8
2013,3,9,-0.3
2013,3,10,-3.2
2013,3,11,-4.8
2013,3,12,-1.6
2013,3,13,-1.8
2013,3,14,-2.9
2013,3,15,-2.5
2013,3,16,-1.1
2013,3,17,0.3
2013,3,18,-0.7
2013,3,19,-2.7
2013,3,20,-2.8
2013,3,21,-3.1
2013,3,22,-4.6
2013,3,23,-4.7
2013,3,24,-3.1
2013,3,25,-1.9
2013,3,26,-1.6
2013,3,27,-0.6
2013,3,28,-0.2
2013,3,29,-0.6
2013,3,30,-1
2013,3,31,-0.2
2013,4,1,1.1
2013,4,2,1.3
2013,4,3,1.1
2013,4,4,1.1
2013,4,5,1.1
2013,4,6,2.6
2013,4,7,1.7
2013,4,8,1.9
2013,4,9,2.1
2013,4,10,1.9
2013,4,11,3.3
2013,4,12,4
2013,4,13,5.5
2013,4,14,9.2
2013,4,15,13.2
2013,4,16,10.6
2013,4,17,11.6
2013,4,18,11.2
2013,4,19,6.9
2013,4,20,6.5
2013,4,21,7.2
2013,4,22,8.7
2013,4,23,9.2
2013,4,24,9.7
2013,4,25,9.1
2013,4,26,7.5
2013,4,27,6.6
2013,4,28,5.6
2013,4,29,6.9
2013,4,30,7.3
2013,5,1,6.2
2013,5,2,6.5
2013,5,3,8.6
2013,5,4,11.7
2013,5,5,10.5
2013,5,6,12.9
2013,5,7,14.4
2013,5,8,13.9
2013,5,9,13.6
2013,5,10,11.3
2013,5,11,11.7
2013,5,12,9.5
2013,5,13,8.7
2013,5,14,9.1
2013,5,15,14.6
2013,5,16,15.2
2013,5,17,17.8
2013,5,18,17.6
2013,5,19,14.1
2013,5,20,14.9
2013,5,21,13.8
2013,5,22,8.5
2013,5,23,7.9
2013,5,24,10.3
2013,5,25,12.1
2013,5,26,13.8
2013,5,27,13.2
2013,5,28,12.8
2013,5,29,12.1
2013,5,30,14.6
2013,5,31,15.5
2013,6,1,16.2
2013,6,2,12.3
2013,6,3,13
2013,6,4,13.8
2013,6,5,14.5
2013,6,6,16.2
2013,6,7,15.3
2013,6,8,12.6
2013,6,9,12.6
2013,6,10,15.5
2013,6,11,12.9
2013,6,12,14.8
2013,6,13,15.8
2013,6,14,13.5
2013,6,15,13.4
2013,6,16,12.3
2013,6,17,15
2013,6,18,17.1
2013,6,19,17.8
2013,6,20,17.2
2013,6,21,16.9
2013,6,22,15.3
2013,6,23,14.9
2013,6,24,14.6
2013,6,25,14.1
2013,6,26,12.3
2013,6,27,11.6
2013,6,28,11.6
2013,6,29,12.3
2013,6,30,13
2013,7,1,14.1
2013,7,2,13.8
2013,7,3,16.7
2013,7,4,16
2013,7,5,15.8
2013,7,6,15.7
2013,7,7,17.5
2013,7,8,17.4
2013,7,9,17.8
2013,7,10,15.8
2013,7,11,16.6
2013,7,12,16.9
2013,7,13,16.2
2013,7,14,14.7
2013,7,15,15.3
2013,7,16,16.9
2013,7,17,18.9
2013,7,18,19
2013,7,19,18.2
2013,7,20,19.7
2013,7,21,19.7
2013,7,22,20
2013,7,23,19.6
2013,7,24,19.6
2013,7,25,18.8
2013,7,26,20.8
2013,7,27,22.3
2013,7,28,20.3
2013,7,29,19.3
2013,7,30,19.1
2013,7,31,17
2013,8,1,17.6
2013,8,2,23.2
2013,8,3,21.7
2013,8,4,18.7
2013,8,5,17.1
2013,8,6,20.3
2013,8,7,17.2
2013,8,8,16.7
2013,8,9,17.4
2013,8,10,16.9
2013,8,11,15.6
2013,8,12,14.4
2013,8,13,14.4
2013,8,14,15.2
2013,8,15,16.1
2013,8,16,18.6
2013,8,17,17.9
2013,8,18,17.5
2013,8,19,16.2
2013,8,20,15.4
2013,8,21,16.7
2013,8,22,17.1
2013,8,23,17.2
2013,8,24,16.6
2013,8,25,17.2
2013,8,26,15.9
2013,8,27,15.9
2013,8,28,16.9
2013,8,29,15.6
2013,8,30,16.8
2013,8,31,15.9
2013,9,1,12.7
2013,9,2,14.6
2013,9,3,15.6
2013,9,4,15.1
2013,9,5,17.2
2013,9,6,18.6
2013,9,7,18.3
2013,9,8,17.1
2013,9,9,11.9
2013,9,10,12.7
2013,9,11,13.4
2013,9,12,13.2
2013,9,13,14.9
2013,9,14,15.2
2013,9,15,13.7
2013,9,16,11.1
2013,9,17,10.2
2013,9,18,10.8
2013,9,19,11.7
2013,9,20,12.1
2013,9,21,12.8
2013,9,22,15.5
2013,9,23,14.6
2013,9,24,11.4
2013,9,25,8.8
2013,9,26,9.7
2013,9,27,9.8
2013,9,28,8.6
2013,9,29,9.3
2013,9,30,10.1
2013,10,1,9.1
2013,10,2,9.8
2013,10,3,8.8
2013,10,4,9.5
2013,10,5,12.7
2013,10,6,11.2
2013,10,7,13.2
2013,10,8,12.8
2013,10,9,12.8
2013,10,10,9.8
2013,10,11,12.4
2013,10,12,11.8
2013,10,13,11.2
2013,10,14,9
2013,10,15,10.5
2013,10,16,10.6
2013,10,17,10.5
2013,10,18,6.1
2013,10,19,7.2
2013,10,20,11.9
2013,10,21,12.4
2013,10,22,14.8
2013,10,23,14.7
2013,10,24,11.1
2013,10,25,10.2
2013,10,26,14.3
2013,10,27,13.1
2013,10,28,11.8
2013,10,29,9.4
2013,10,30,8.8
2013,10,31,9.1
2013,11,1,10.2
2013,11,2,9.2
2013,11,3,8.9
2013,11,4,6.1
2013,11,5,7.2
2013,11,6,5.6
2013,11,7,7.2
2013,11,8,7.7
2013,11,9,7.3
2013,11,10,5.5
2013,11,11,5.5
2013,11,12,6.7
2013,11,13,6.1
2013,11,14,6.3
2013,11,15,6.9
2013,11,16,9
2013,11,17,6.4
2013,11,18,5.6
2013,11,19,5.2
2013,11,20,0
2013,11,21,1.8
2013,11,22,4.2
2013,11,23,3.1
2013,11,24,2.9
2013,11,25,0.6
2013,11,26,1.2
2013,11,27,7.4
2013,11,28,6.7
2013,11,29,4.4
2013,11,30,4.7
2013,12,1,6.7
2013,12,2,2.3
2013,12,3,4.9
2013,12,4,5.6
2013,12,5,4.1
2013,12,6,2.3
2013,12,7,-0.5
2013,12,8,4.5
2013,12,9,8
2013,12,10,7.1
2013,12,11,5.6
2013,12,12,2.2
2013,12,13,4.6
2013,12,14,3.8
2013,12,15,6.6
2013,12,16,7.8
2013,12,17,4.5
2013,12,18,4.6
2013,12,19,5.6
2013,12,20,4.3
2013,12,21,6.1
2013,12,22,6.6
2013,12,23,4.9
2013,12,24,8.8
2013,12,25,6.6
2013,12,26,2
2013,12,27,5
2013,12,28,6.5
2013,12,29,5.1
2013,12,30,4.4
2013,12,31,4.3
2014,1,1,3.2
2014,1,2,4.9
2014,1,3,6.1
2014,1,4,5.8
2014,1,6,7.1
2014,1,7,8.6
2014,1,8,7.9
2014,1,9,6.7
2014,1,10,5.8
2014,1,11,5.3
2014,1,12,3.2
2014,1,13,1.6
2014,1,14,4.2
2014,1,15,3.3
2014,1,16,1.8
2014,1,17,1.9
2014,1,18,3
2014,1,19,2.2
2014,1,20,1.2
2014,1,21,0.1
2014,1,22,0.2
2014,1,23,-2.8
2014,1,24,-3
2014,1,25,-6.3
2014,1,26,-7.1
2014,1,27,-3.2
2014,1,28,-1.4
2014,1,29,-4
2014,1,30,-4
2014,1,31,-3.1
2014,2,1,0.9
2014,2,2,2.8
2014,2,3,1.7
2014,2,4,1.2
2014,2,5,1.2
2014,2,6,4.4
2014,2,7,4.9
2014,2,8,4.4
2014,2,9,4.3
2014,2,10,4.1
2014,2,11,2.4
2014,2,12,3.8
2014,2,13,4.1
2014,2,14,3.4
2014,2,15,7.1
2014,2,16,4.8
2014,2,17,3.7
2014,2,18,4.9
2014,2,19,5.1
2014,2,20,5.9
2014,2,21,5.9
2014,2,22,4.5
2014,2,23,5.8
2014,2,24,6.3
2014,2,25,6.3
2014,2,26,7.2
2014,2,27,5.3
2014,2,28,4.7
2014,3,1,3
2014,3,2,3.8
2014,3,3,3.6
2014,3,4,3.8
2014,3,5,4.3
2014,3,6,4.4
2014,3,7,6.9
2014,3,8,5.4
2014,3,9,9.3
2014,3,10,9.2
2014,3,11,4.9
2014,3,12,6.2
2014,3,13,6.3
2014,3,14,6
2014,3,15,7
2014,3,16,8.6
2014,3,17,9.1
2014,3,18,7.2
2014,3,19,7.1
2014,3,20,10.8
2014,3,21,7.4
2014,3,22,5.6
2014,3,23,4.9
2014,3,24,3.9
2014,3,25,3.8
2014,3,26,4.1
2014,3,27,3.8
2014,3,28,5.1
2014,3,29,6.1
2014,3,30,6.9
2014,3,31,6.2
2014,4,1,4.4
2014,4,2,5.7
2014,4,3,5.3
2014,4,4,4.1
2014,4,5,6.2
2014,4,6,9.8
2014,4,7,10.3
2014,4,22,13.6
2014,4,23,8.3
2014,4,24,7
2014,4,25,10.3
2014,4,26,11.7
2014,4,27,12.3
2014,4,28,12.3
2014,4,29,13.2
2014,4,30,12.2
2014,5,1,7.2
2014,5,2,7.6
2014,5,3,6.4
2014,5,4,7.3
2014,5,5,7
2014,5,6,11.1
2014,5,7,11.6
2014,5,8,10.7
2014,5,9,10.2
2014,5,10,10.7
2014,5,11,10.7
2014,5,12,10.3
2014,5,13,9.6
2014,5,14,9.4
2014,5,15,11.9
2014,5,16,10.1
2014,5,17,12.7
2014,5,18,12.6
2014,5,19,12.5
2014,5,20,14.8
2014,5,21,19.3
2014,5,22,20.8
2014,5,23,15.5
2014,5,24,15.1
2014,5,25,15.6
2014,5,26,14.7
2014,5,27,13.6
2014,5,28,9.7
2014,5,29,10.2
2014,5,30,13.7
2014,5,31,12.7
2014,6,1,13.3
2014,6,2,15.4
2014,6,3,16.1
2014,6,4,15.4
2014,6,5,14.2
2014,6,6,12.9
2014,6,7,15.3
2014,6,8,17.2
2014,6,9,17.7
2014,6,10,20.1
2014,6,11,17.9
2014,6,12,15.2
2014,6,13,14.6
2014,6,14,14.6
2014,6,15,14.4
2014,6,16,15.1
2014,6,17,15.7
2014,6,18,14.9
2014,6,19,13.7
2014,6,20,13.8
2014,6,21,11.9
2014,6,26,13.2
2014,6,27,14.4
2014,6,28,15.4
2014,6,29,14.2
2014,6,30,14.2
2014,7,1,13
2014,7,2,13.4
2014,7,3,15.9
2014,7,4,20.6
2014,7,5,20.3
2014,7,6,21.2
2014,7,7,19.2
2014,7,8,18.9
2014,7,9,23.3
2014,7,10,22.4
2014,7,11,20.5
2014,7,12,16.5
2014,7,13,15.8
2014,7,14,17.6
2014,7,15,17.9
2014,7,16,17.1
2014,7,17,18.3
2014,7,18,20.5
2014,7,19,22.3
2014,7,20,20.9
2014,7,21,21.2
2014,7,22,21.4
2014,7,23,21
2014,7,24,21.8
2014,7,25,22.7
2014,7,26,21.6
2014,7,27,21.7
2014,7,28,21.1
2014,7,29,22.1
2014,7,30,19.9
2014,7,31,18.7
2014,8,1,21.9
2014,8,2,21.7
2014,8,3,21.4
2014,8,4,20.5
2014,8,5,19.3
2014,8,6,18.7
2014,8,7,18.4
2014,8,8,18.9
2014,8,9,18.7
2014,8,10,19.4
2014,8,11,17.7
2014,8,12,14.7
2014,8,13,15.6
2014,8,14,16.2
2014,8,15,15.8
2014,8,16,14.4
2014,8,17,13.6
2014,8,18,13.5
2014,8,19,13.7
2014,8,20,13.7
2014,8,21,12.6
2014,8,22,12.8
2014,8,23,12.5
2014,8,24,12.6
2014,8,25,11.8
2014,8,26,13
2014,8,27,14.5
2014,8,28,14.4
2014,8,29,15.8
2014,8,30,15.3
2014,8,31,14.3
2014,9,1,15.7
2014,9,2,14.6
2014,9,3,13.8
2014,9,4,14.6
2014,9,5,17
2014,9,6,19.1
2014,9,7,17.1
2014,9,8,13.7
2014,9,9,14.8
2014,9,10,15.4
2014,9,11,15
2014,9,12,15.6
2014,9,13,15.6
2014,9,14,15.4
2014,9,15,16.4
2014,9,16,16.7
2014,9,17,16.1
2014,9,18,16.3
2014,9,19,15.8
2014,9,20,14.2
2014,9,21,14.2
2014,9,22,10.5
2014,9,23,11
2014,9,24,12.7
2014,9,25,12.2
2014,9,26,14.4
2014,9,27,12.4
2014,9,28,14
2014,9,29,13.3
2014,9,30,13.7
2014,10,1,15.1
2014,10,2,14.3
2014,10,3,15.6
2014,10,4,14.9
2014,10,5,13.2
2014,10,6,13.2
2014,10,7,12
2014,10,8,12.2
2014,10,9,14.8
2014,10,10,13.6
2014,10,11,13.5
2014,10,12,12.1
2014,10,13,11.1
2014,10,14,10.6
2014,10,15,12.7
2014,10,16,12.2
2014,10,17,12.9
2014,10,18,13.2
2014,10,19,15.2
2014,10,20,12.6
2014,10,21,11.3
2014,10,22,10.6
2014,10,23,11.2
2014,10,24,11.9
2014,10,25,10.8
2014,10,26,11.8
2014,10,27,12.6
2014,10,28,11.4
2014,10,29,8.3
2014,10,30,6.7
2014,10,31,11.1
2014,11,1,13.1
2014,11,2,12.9
2014,11,3,12.6
2014,11,4,10.8
2014,11,5,8.3
2014,11,6,7.7
2014,11,7,7.6
2014,11,8,8.7
2014,11,9,9
2014,11,10,8.6
2014,11,11,8.3
2014,11,12,10.6
2014,11,13,10.4
2014,11,14,9.8
2014,11,15,9.2
2014,11,16,8.4
2014,11,17,8.5
2014,11,18,7.4
2014,11,19,5.6
2014,11,20,5.4
2014,11,21,5.2
2014,11,22,4.3
2014,11,23,6.6
2014,11,24,7.7
2014,11,25,4.9
2014,11,26,5.3
2014,11,27,3.9
2014,11,28,3.2
2014,11,29,1.5
2014,11,30,-0.6
2014,12,1,2.2
2014,12,2,-0.9
2014,12,3,0.9
2014,12,4,2.7
2014,12,5,3.2
2014,12,6,4.1
2014,12,7,4.1
2014,12,8,2.5
2014,12,9,1.4
2014,12,10,4.2
2014,12,11,2.6
2014,12,12,3.6
2014,12,13,3.7
2014,12,14,2.8
2014,12,15,3.8
2014,12,16,3.4
2014,12,17,3.5
2014,12,18,7.7
2014,12,19,7.7
2014,12,20,3.9
2014,12,21,5.8
2014,12,22,8.6
2014,12,23,7.7
2014,12,24,6
2014,12,25,0.5
2014,12,26,-2.4
2014,12,27,-1
2014,12,28,-1.2
2014,12,29,-0.2
2014,12,30,3.6
2014,12,31,6.3
2015,1,1,5.4
2015,1,2,6.1
2015,1,3,4.4
2015,1,4,3.2
2015,1,5,5.2
2015,1,6,3.7
2015,1,7,4.2
2015,1,8,5.3
2015,1,9,6.1
2015,1,10,6.5
2015,1,11,3.4
2015,1,12,6.5
2015,1,13,5.4
2015,1,14,2.1
2015,1,15,4.4
2015,1,16,5.3
2015,1,17,2.6
2015,1,18,1.8
2015,1,19,0.9
2015,1,20,0.3
2015,1,21,-0.3
2015,1,22,-2
2015,1,23,-2.2
2015,1,24,-1
2015,1,25,0.4
2015,1,26,2.4
2015,1,27,2.7
2015,1,28,3.6
2015,1,29,0.7
2015,1,30,0.4
2015,1,31,0.2
2015,2,1,-0.3
2015,2,2,-1.6
2015,2,3,-1.8
2015,2,4,-1.7
2015,2,5,-2.8
2015,2,6,-3.2
2015,2,7,4
2015,2,8,2.7
2015,2,9,5.6
2015,2,10,5.4
2015,2,11,3.1
2015,2,12,1.4
2015,2,13,0.3
2015,2,14,1.1
2015,2,15,2.3
2015,2,16,0.9
2015,2,17,0.9
2015,2,18,4.6
2015,2,19,3.1
2015,2,20,2.3
2015,2,21,1.6
2015,2,22,2.6
2015,2,23,2.8
2015,2,24,3.9
2015,2,25,2.8
2015,2,26,3.8
2015,2,27,2.8
2015,2,28,2.6
2015,3,1,3.9
2015,3,2,3.4
2015,3,3,2.4
2015,3,4,1.9
2015,3,5,3.9
2015,3,6,5.6
2015,3,7,6.9
2015,3,8,7.7
2015,3,9,6.6
2015,3,10,6.7
2015,3,11,4.9
2015,3,12,3.8
2015,3,13,2.3
2015,3,14,3.3
2015,3,15,4.7
2015,3,16,5.9
2015,3,17,6.9
2015,3,18,6.7
2015,3,19,5.6
2015,3,20,4.3
2015,3,21,3.2
2015,3,22,0.4
2015,3,23,4.1
2015,3,24,5.2
2015,3,25,4.7
2015,3,26,5.2
2015,3,27,4.6
2015,3,28,5.6
2015,3,29,7.1
2015,3,30,5.4
2015,3,31,2.1
2015,4,1,3.5
2015,4,2,3.6
2015,4,3,4.3
2015,4,4,3.5
2015,4,5,4.6
2015,4,6,4.8
2015,4,7,6
2015,4,29,8.4
2015,4,30,7.2
2015,5,1,6.7
2015,5,2,6.9
2015,5,3,7.5
2015,5,4,12.1
2015,5,5,13.6
2015,5,6,11.3
2015,5,7,9.6
2015,5,8,8.2
2015,5,9,10.1
2015,5,10,10.1
2015,5,11,13.3
2015,5,12,11.5
2015,5,13,9.6
2015,5,14,9.9
2015,5,15,10.5
2015,5,16,8.4
2015,5,17,8.5
2015,5,18,8.9
2015,5,19,9.8
2015,5,20,9.3
2015,5,21,9.4
2015,5,22,11.8
2015,5,23,9.9
2015,5,24,9.4
2015,5,25,9.8
2015,5,26,9.3
2015,5,27,10.1
2015,5,28,10.8
2015,5,29,9.2
2015,5,30,9.6
2015,5,31,11.4
2015,6,1,10.7
2015,6,2,12
2015,6,3,12.3
2015,6,4,11.8
2015,6,5,14.9
2015,6,6,15.2
2015,6,7,11.9
2015,6,8,10.4
2015,6,9,12.3
2015,6,10,13.5
2015,6,11,12.7
2015,6,12,15.7
2015,6,13,16.5
2015,6,14,11.6
2015,6,15,9.9
2015,6,16,10.6
2015,6,17,11
2015,6,18,12
2015,6,19,11.7
2015,6,20,13.5
2015,6,21,12.4
2015,6,22,12.9
2015,6,23,13.9
2015,6,24,11.4
2015,6,25,12.4
2015,6,26,14.4
2015,6,27,15.5
2015,6,28,14.9
2015,6,29,16.4
2015,6,30,16
2015,7,1,18.1
2015,7,2,19.8
2015,7,3,21.8
2015,7,4,22.1
2015,7,5,22.4
2015,7,6,16.7
2015,7,7,17.6
2015,7,8,15.2
2015,7,9,11.7
2015,7,10,12.2
2015,7,11,13.6
2015,7,12,15.6
2015,7,13,15.6
2015,7,14,14.9
2015,7,15,14.9
2015,7,16,15.2
2015,7,17,15.4
2015,7,18,16.9
2015,7,19,13.9
2015,7,20,14.1
2015,7,21,17.2
2015,7,22,17.6
2015,7,23,14.4
2015,7,24,15.9
2015,7,25,15.4
2015,7,26,13.8
2015,7,27,14.4
2015,7,28,15.6
2015,7,29,13.8
2015,7,30,13.9
2015,7,31,12.6
2015,8,1,13.4
2015,8,2,16.1
2015,8,3,18.2
2015,8,4,20.6
2015,8,5,17.1
2015,8,6,20.3
2015,8,7,19.4
2015,8,8,16.5
2015,8,9,15.8
2015,8,10,18.2
2015,8,11,18.8
2015,8,12,17.4
2015,8,13,16.6
2015,8,14,19.2
2015,8,15,18.9
2015,8,16,18.4
2015,8,17,19.4
2015,8,18,18.8
2015,8,19,18.7
2015,8,20,18.3
2015,8,21,18.8
2015,8,22,18.7
2015,8,23,18.2
2015,8,24,17.8
2015,8,25,17
2015,8,26,17.9
2015,8,27,16.9
2015,8,28,15.6
2015,8,29,16.3
2015,8,30,16.1
2015,8,31,16.3
2015,9,1,16.6
2015,9,2,14.9
2015,9,3,13.6
2015,9,4,13.7
2015,9,5,12.3
2015,9,6,13.5
2015,9,7,12.6
2015,9,8,12.2
2015,9,9,11.8
2015,9,10,12.9
2015,9,11,13.9
2015,9,12,14.8
2015,9,13,15.3
2015,9,14,16.2
2015,9,15,12.9
2015,9,16,14.6
2015,9,17,16
2015,9,18,14.3
2015,9,19,13.6
2015,9,20,13
2015,9,21,11.6
2015,9,22,12.8
2015,9,23,13
2015,9,24,13.2
2015,9,25,12.1
2015,9,26,11
2015,9,27,10.9
2015,9,28,9.9
2015,9,29,9.8
2015,9,30,10.7
2015,10,1,11.3
2015,10,2,12.6
2015,10,3,10.7
2015,10,4,11.4
2015,10,5,12.1
2015,10,6,13.4
2015,10,7,11.9
2015,10,8,9.1
2015,10,9,9.4
2015,10,10,8.2
2015,10,11,8.3
2015,10,12,7.4
2015,10,13,7.2
2015,10,14,8.1
2015,10,15,9.3
2015,10,16,9.2
2015,10,17,9.6
2015,10,18,9.6
2015,10,19,8.5
2015,10,20,8.8
2015,10,21,9.7
2015,10,22,11.4
2015,10,23,10.9
2015,10,24,10.3
2015,10,25,9.2
2015,10,26,7.3
2015,10,27,8
2015,10,28,9.7
2015,10,29,7.5
2015,10,30,7.3
2015,10,31,9.1
2015,11,1,9.4
2015,11,2,9.2
2015,11,3,6.1
2015,11,4,5.4
2015,11,5,10
2015,11,6,12
2015,11,7,13.3
2015,11,8,11.1
2015,11,9,11.3
2015,11,10,13.9
2015,11,11,13
2015,11,12,11.2
2015,11,13,9.4
2015,11,14,6.8
